No.,Kanji
1071,"① 悦 • よろこ.ばす, よろこ.ぶ, エツ • ecstasy, joy, rapture"
1072,"① 宴 • うたげ, エン • banquet, feast, party"
1073,"① 翁 • おきな, オウ • venerable old man"
1074,"① 恩 • オン • grace, kindness, goodness, favor, mercy, blessing, benefit"
1075,"① 華 • はな, ケ, カ • splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous"
1076,"① 蚊 • か, ブン • mosquito"
1077,"① 核 • カク • nucleus, core, kernel"
1078,"① 株 • かぶ, シュ • stocks, stump, shares, stock, counter for small plants"
1079,"① 陥 • おとしい.れる, おちい.る, カン • collapse, fall into, cave in, fall (castle), slide into"
1080,"① 既 • すで.に, キ • previously, already, long ago"
1081,"① 飢 • う.える, キ • hungry, starve"
1082,"① 鬼 • おに-, おに, キ • ghost, devil"
1083,"① 宮 • みや, クウ, ク, グウ, キュウ • Shinto shrine, constellations, palace, princess"
1084,"① 挙 • こぞ.る, あ.がる, あ.げる, キョ • raise, plan, project, behavior, actions"
1085,"① 恭 • うやうや.しい, キョウ • respect, reverent"
1086,"① 脅 • おど.かす, おど.す, おびや.かす, キョウ • threaten, coerce"
1087,"① 桑 • くわ, ソウ • mulberry"
1088,"① 郡 • こうり, グン • county, district"
1089,"① 恵 • めぐ.み, めぐ.む, エ, ケイ • favor, blessing, grace, kindness"
1090,"① 倹 • つづまやか, つま.しい, ケン • frugal, economy, thrifty"
1091,"① 兼 • -か.ねる, か.ねる, ケン • concurrently, and"
1092,"① 剣 • つるぎ, ケン • sabre, sword, blade, clock hand"
1093,"① 拳 • こぶし, ゲン, ケン • fist"
1094,"① 娯 • ゴ • recreation, pleasure"
1095,"① 悟 • さと.る, ゴ • enlightenment, perceive, discern, realize, understand"
1096,"① 貢 • みつ.ぐ, ク, コウ • tribute, support, finance"
1097,"① 剛 • ゴウ • sturdy, strength"
1098,"① 唆 • そそのか.す, サ • tempt, seduce, instigate, promote"
1099,"① 宰 • サイ • superintend, manager, rule"
1100,"① 栽 • サイ • plantation, planting"
1101,"① 剤 • けず.る, かる, セイ, スイ, ザイ • dose, medicine, drug"
1102,"① 索 • サク • cord, rope"
1103,"① 桜 • さくら, ヨウ, オウ • cherry"
1104,"① 桟 • かけはし, セン, サン • scaffold, cleat, frame, jetty, bolt (door)"
1105,"① 蚕 • こ, かいこ, テン, サン • silkworm"
1106,"① 疾 • はや.い, シツ • rapidly"
1107,"① 射 • さ.す, い.る, シャ • shoot, shine into, onto, archery"
1108,"① 酌 • く.む, シャク • bar-tending, serving sake, the host, draw (water), ladle, scoop, pump"
1109,"① 殊 • こと, シュ • particularly, especially, exceptionally"
1110,"① 珠 • たま, シュ • pearl, gem, jewel"
1111,"① 修 • おさ.まる, おさ.める, シュ, シュウ • discipline, conduct oneself well, study, master"
1112,"① 従 • より, したが.える, したが.う, ジュ, ショウ, ジュウ • accompany, obey, submit to, comply, follow, secondary, incidental, subordinate"
1113,"① 准 • ジュン • quasi-, semi-, associate"
1114,"① 殉 • ジュン • martyrdom, follow by resigning"
1115,"① 徐 • おもむ.ろに, ジョ • gradually, slowly, deliberately, gently"
1116,"① 宵 • よい, ショウ • wee hours, evening, early night"
1117,"① 症 • ショウ • symptoms, illness"
1118,"① 祥 • つまび.らか, よ.い, きざ.し, さいわ.い, ショウ • auspicious, happiness, blessedness, good omen, good fortune"
1119,"① 称 • ほめ.る, はか.る, はか.り, かな.う, あ.げる, とな.える, たた.える, ショウ • appellation, praise, admire, name, title, fame"
1120,"① 辱 • はずかし.める, ジョク • embarrass, humiliate, shame"
1121,"① 唇 • くちびる, シン • lips"
1122,"① 娠 • シン • with child, pregnancy"
1123,"① 振 • ふ.るう, -ぶ.り, ふ.り, ぶ.る, ふ.る, シン • shake, wave, wag, swing"
1124,"① 浸 • ひた.る, ひた.す, シン • immersed, soak, dip, steep, moisten, wet, dunk"
1125,"① 陣 • ジン • camp, battle array, ranks, position"
1126,"① 粋 • いき, スイ • chic, style, purity, essence, pith, cream, elite, choice"
1127,"① 衰 • おとろ.える, スイ • decline, wane, weaken"
1128,"① 畝 • うね, せ, ム, モ, ホ, ボウ • furrow, 30 tsubo, ridge, rib"
1129,"① 逝 • い.く, ゆ.く, セイ • departed, die"
1130,"① 扇 • おうぎ, セン • fan, folding fan"
1131,"① 栓 • セン • plug, bolt, cork, bung, stopper"
1132,"① 租 • ソ • tariff, crop tax, borrowing"
1133,"① 素 • もと, ス, ソ • elementary, principle, naked, uncovered"
1134,"① 倉 • くら, ソウ • godown, warehouse, storehouse, cellar, treasury"
1135,"① 挿 • はさ.む, さ.す, ソウ • insert, put in, graft, wear (sword)"
1136,"① 泰 • タイ • peaceful, calm, peace, easy, Thailand"
1137,"① 託 • かこ.つける, かこ.つ, かこつ.ける, タク • consign, requesting, entrusting with, pretend, hint"
1138,"① 致 • いた.す, チ • doth, do, send, forward, cause, exert, incur, engage"
1139,"① 逐 • チク • pursue, drive away, chase, accomplish, attain, commit"
1140,"① 秩 • チツ • regularity, salary, order"
1141,"① 朕 • チン • majestic plural, imperial we"
1142,"① 逓 • たがいに, かわ.る, テイ • relay, in turn, sending"
1143,"① 哲 • さば.く, し.る, あき.らか, さとい, テツ • philosophy, clear"
1144,"① 展 • テン • unfold, expand"
1145,"① 唐 • から, トウ • T'ang, China"
1146,"① 桃 • もも, トウ • peach tree"
1147,"① 討 • う.つ, トウ • chastise, attack, defeat, destroy, conquer"
1148,"① 透 • とう.す, とう.る, す.ける, す.かす, す.く, トウ • transparent, permeate, filter, penetrate"
1149,"① 胴 • ドウ • trunk, torso, hull (ship), hub of wheel"
1150,"① 匿 • かくま.う, トク • hide, shelter, shield"
1151,"① 納 • おさ.まる, -おさ.める, おさ.める, トウ, ナン, ナ, ナッ, ノウ • settlement, obtain, reap, pay, supply, store"
1152,"① 俳 • ハイ • haiku, actor"
1153,"① 梅 • うめ, バイ • plum"
1154,"① 班 • ハン • squad, corps, unit, group"
1155,"① 畔 • ほとり, くろ, あぜ, ハン • paddy ridge, levee"
1156,"① 秘 • かく.す, ひそ.か, ひ.める, ヒ • secret, conceal"
1157,"① 姫 • ひめ-, ひめ, キ • princess"
1158,"① 俵 • たわら, ヒョウ • bag, bale, sack, counter for bags"
1159,"① 浜 • はま, ヒン • seacoast, beach, seashore"
1160,"① 敏 • さとい, ビン • cleverness, agile, alert"
1161,"① 紛 • まぎ.らわしい, まぎ.らわす, まぎ.らす, -まぎ.れ, まぎ.れる, フン • distract, be mistaken for, go astray, divert"
1162,"① 陛 • ヘイ • highness, steps (of throne)"
1163,"① 倣 • なら.う, ホウ • emulate, imitate"
1164,"① 俸 • ホウ • stipend, salary"
1165,"① 峰 • ね, みね, ホウ • summit, peak"
1166,"① 砲 • ホウ • cannon, gun"
1167,① 剖 • ボウ • divide
1168,"① 紡 • つむ.ぐ, ボウ • spinning"
1169,"① 脈 • すじ, ミャク • vein, pulse, hope"
1170,"① 耗 • カウ, コウ, モウ • decrease"
1171,"① 紋 • モン • family crest, figures"
1172,"① 竜 • いせ, たつ, ロウ, リョウ, リュウ • dragon, imperial"
1173,"① 倫 • リン • ethics, companion"
1174,"① 烈 • はげ.しい, レツ • ardent, violent, vehement, furious, severe, extreme"
1175,"① 朗 • あき.らか, ほが.らか, ロウ • melodious, clear, bright, serene, cheerful"
1176,"① 浪 • ロウ • wandering, waves, billows"
1177,"① 尉 • ジョウ, イ • military officer, jailer, old man, rank"
1178,"① 異 • け, こと.なる, こと, イ • uncommon, queerness, strangeness, wonderful, curious, unusual"
1179,"① 逸 • はぐ.れる, そ.らす, そ.れる, イツ • deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge"
1180,"① 陰 • かげ.る, かげ, イン • shade, yin, negative, sex organs, secret, shadow"
1181,"① 涯 • はて, ガイ • horizon, shore"
1182,"① 殻 • がら, から, バイ, コク, カク • husk, nut shell"
1183,"① 郭 • くるわ, カク • enclosure, quarters, fortification, red-light district"
1184,"① 喝 • カツ • hoarse, scold"
1185,"① 渇 • かわ.く, カツ • thirst, dry up, parch"
1186,"① 勘 • カン • intuition, perception"
1187,"① 貫 • ぬき, ぬ.く, つらぬ.く, カン • pierce, 8 1/3lbs, penetrate, brace"
1188,"① 眼 • め, まなこ, ゲン, ガン • eyeball"
1189,"① 基 • もとい, もと, キ • fundamentals, radical (chem), counter for machines, foundation"
1190,"① 亀 • かめ, キン, キュウ, キ • tortoise, turtle"
1191,"① 偽 • いつわ.り, にせ, いつわ.る, カ, ギ • falsehood, lie, deceive, pretend, counterfeit, forgery"
1192,① 菊 • キク • chrysanthemum
1193,"① 脚 • あし, カク, キャ, キャク • skids, leg, undercarriage"
1194,"① 救 • すく.う, キュウ • salvation, save, help, rescue, reclaim"
1195,"① 虚 • うつ.ろ, むな.しい, コ, キョ • void, emptiness, unpreparedness, crack, fissure, untruth"
1196,"① 郷 • さと, ゴウ, キョウ • home town, village, native place, district"
1197,"① 菌 • キン • germ, fungus, bacteria"
1198,"① 啓 • さと.す, ひら.く, ケイ • disclose, open, say"
1199,"① 掲 • かか.げる, ケイ • put up (a notice), put up, hoist, display, hang out, publish, describe"
1200,"① 渓 • たにがわ, たに, ケイ • mountain stream, valley"
1201,"① 蛍 • ほたる, ケイ • lightning-bug, firefly"
1202,"① 健 • すこ.やか, ケン • healthy, health, strength, persistence"
1203,"① 康 • コウ • ease, peace"
1204,"① 控 • ひか.え, ひか.える, コウ • withdraw, draw in, hold back, refrain from, be moderate"
1205,"① 紺 • コン • dark blue, navy"
1206,"① 彩 • いろど.る, サイ • coloring, paint, makeup"
1207,"① 斎 • いつ.く, いわ.う, い.む, ものいみ, つつし.む, とき, サイ • purification, Buddhist food, room, worship, avoid, alike"
1208,"① 崎 • みさき, さい, さき, キ • promontory, cape, spit"
1209,"① 惨 • むご.い, いた.む, みじ.め, ザン, サン • wretched, disaster, cruelty, harsh"
1210,"① 視 • み.る, シ • inspection, regard as, see, look at"
1211,"① 鹿 • か, しか, ロク • deer"
1212,"① 執 • と.る, シュウ, シツ • tenacious, take hold, grasp, take to heart"
1213,"① 赦 • シャ • pardon, forgiveness"
1214,"① 斜 • はす, なな.め, シャ • diagonal, slanting, oblique"
1215,"① 蛇 • へび, ヤ, イ, ダ, ジャ • snake, serpent, hard drinker"
1216,"① 釈 • ゆる.す, す.てる, とく, セキ, シャク • explanation"
1217,"① 寂 • さみ.しい, さび.れる, さび.しい, さび, セキ, ジャク • loneliness, quietly, mellow, mature, death of a priest"
1218,"① 渋 • しぶ.る, しぶ.い, しぶ, シュウ, ジュウ • astringent, hesitate, reluctant, have diarrhea"
1219,"① 淑 • しと.やか, シュク • graceful, gentle, pure"
1220,"① 粛 • つつし.む, スク, シュク • solemn, quietly, softly"
1221,"① 庶 • ショ • commoner, all, bastard"
1222,"① 唱 • とな.える, ショウ • chant, recite, call upon, yell"
1223,"① 渉 • わた.る, ショウ • ford, ferry, port"
1224,"① 訟 • ショウ • sue, accuse"
1225,"① 剰 • あま.る, あま.り, あまつさえ, ジョウ • surplus, besides"
1226,"① 紳 • シン • sire, good belt, gentleman"
1227,"① 推 • お.す, スイ • conjecture, infer, guess, suppose, support"
1228,"① 酔 • よ, よ.い, よ.う, スイ • drunk, feel sick, poisoned, elated, spellbound"
1229,"① 崇 • あが.める, スウ • adore, respect, revere, worship"
1230,"① 据 • す.わる, す.える, キョ • set, lay a foundation, install, equip, squat down, sit down"
1231,"① 盛 • さか.ん, さか.る, も.る, ジョウ, セイ • boom, prosper, copulate"
1232,"① 惜 • お.しむ, お.しい, セキ • pity, be sparing of, frugal, stingy, regret"
1233,"① 旋 • セン • rotation, go around"
1234,"① 措 • お.く, ソ • set aside, give up, suspend, discontinue, lay aside, except"
1235,"① 粗 • あら-, あら.い, ソ • coarse, rough, rugged"
1236,"① 爽 • たがう, さわ.やか, あき.らか, ソウ • refreshing, bracing, resonant, sweet, clear"
1237,"① 曹 • へや, ともがら, つかさ, ゾウ, ソウ • cadet, friend"
1238,"① 巣 • す.くう, す, ソウ • nest, rookery, hive, cobweb, den"
1239,"① 逮 • タイ • apprehend, chase"
1240,"① 第 • テイ, ダイ • No., residence"
1241,"① 脱 • ぬ.げる, ぬ.ぐ, ダツ • undress, removing, escape from, get rid of, be left out, take off"
1242,"① 淡 • あわ.い, タン • thin, faint, pale, fleeting"
1243,"① 窒 • チツ • plug up, obstruct"
1244,"① 帳 • とばり, チョウ • notebook, account book, album"
1245,"① 張 • -ば.り, -は.り, は.る, チョウ • lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)"
1246,"① 彫 • -ぼ.り, ほ.る, チョウ • carve, engrave, chisel"
1247,"① 眺 • なが.める, チョウ • stare, watch, look at, see, scrutinize"
1248,"① 陳 • ひ.ねる, チン • exhibit, state, relate, explain"
1249,"① 釣 • つ.り-, つ.り, つ.る, チョウ • angling, fish, catch, allure, ensnare"
1250,① 偵 • テイ • spy
1251,"① 笛 • ふえ, テキ • flute, clarinet, pipe, whistle, bagpipe, piccolo"
1252,"① 添 • も.う, も.える, そ.う, そ.える, テン • annexed, accompany, marry, suit, meet, satisfy, attach, append, garnish, imitate"
1253,"① 悼 • いた.む, トウ • lament, grieve over"
1254,"① 陶 • トウ • pottery, porcelain"
1255,"① 豚 • ぶた, トン • pork, pig"
1256,"① 粘 • ねば.る, ネン • sticky, glutinous, greasy, persevere"
1257,"① 婆 • ばあ, ばば, バ • old woman, grandma, wet nurse"
1258,"① 排 • ハイ • repudiate, exclude, expel, reject"
1259,"① 培 • つちか.う, バイ • cultivate, foster"
1260,"① 陪 • バイ • obeisance, follow, accompany, attend on"
1261,"① 舶 • ハク • liner, ship"
1262,"① 票 • ヒョウ • ballot, label, ticket, sign"
1263,"① 描 • か.く, えが.く, ビョウ • sketch, compose, write, draw, paint"
1264,"① 偏 • かたよ.る, ヘン • partial, side, left-side radical, inclining, biased"
1265,"① 崩 • くず.す, -くず.れ, くず.れる, ホウ • crumble, die, demolish, level"
1266,"① 堀 • ほり, クツ • ditch, moat, canal"
1267,"① 麻 • あさ, マア, マ • hemp, flax"
1268,"① 密 • ひそ.か, ミツ • secrecy, density (pop), minuteness, carefulness"
1269,"① 猛 • モウ • fierce, rave, rush, become furious, wildness, strength"
1270,"① 訳 • わけ, ヤク • translate, reason, circumstance, case"
1271,"① 唯 • ただ, イ, ユイ • solely, only, merely, simply"
1272,"① 悠 • ユウ • permanence, distant, long time, leisure"
1273,"① 庸 • ヨウ • commonplace, ordinary, employment"
1274,"① 梨 • なし, リ • pear tree"
1275,"① 率 • ひき.いる, シュツ, リツ, ソツ • ratio, rate, proportion, %, coefficient, factor"
1276,"① 隆 • リュウ • hump, high, noble, prosperity"
1277,"① 猟 • か.る, かり, レフ, リョウ • game-hunting, shooting, game, bag"
1278,"① 陵 • みささぎ, リョウ • mausoleum, imperial tomb"
1279,"① 累 • ルイ • accumulate, involvement, trouble, tie up, continually"
1280,"① 握 • にぎ.る, アク • grip, hold, mould sushi, bribe"
1281,"① 渦 • うず, カ • whirlpool, eddy, vortex"
1282,"① 詠 • うた.う, よ.む, エイ • recitation, poem, song, composing"
1283,"① 援 • エン • abet, help, save"
1284,"① 賀 • ガ • congratulations, joy"
1285,"① 街 • まち, カイ, ガイ • boulevard, street, town"
1286,"① 喚 • わめ.く, カン • yell, cry, scream"
1287,"① 堪 • こた.える, こ.らえる, たま.る, た.える, タン, カン • withstand, endure, support, resist"
1288,"① 敢 • あ.えず, あ.えない, あ.えて, カン • daring, sad, tragic, pitiful, frail, feeble"
1289,"① 棺 • カン • coffin, casket"
1290,"① 款 • カン • goodwill, article, section, friendship, collusion"
1291,① 閑 • カン • leisure
1292,"① 揮 • ふる.う, キ • brandish, wave, wag, swing, shake"
1293,"① 棋 • ご, キ • chess piece, Japanese chess, shogi"
1294,"① 貴 • とうと.ぶ, たっと.ぶ, とうと.い, たっと.い, キ • precious, value, prize, esteem, honor"
1295,"① 欺 • あざむ.く, ギ • deceit, cheat, delude"
1296,"① 距 • けづめ, へだ.たる, キョ • long-distance, spur, fetlock"
1297,"① 暁 • さと.る, あかつき, キョウ, ギョウ • daybreak, dawn, in the event"
1298,"① 琴 • こと, キン • harp, koto"
1299,"① 筋 • すじ, キン • muscle, sinew, tendon, fiber, plot, plan, descent"
1300,"① 遇 • あ.う, グウ • interview, treat, entertain, receive, deal with"
1301,"① 結 • ゆ.わえる, ゆ.う, むす.ぶ, ケチ, ケツ • tie, bind, contract, join, organize, do up hair, fasten"
1302,"① 圏 • かこ.い, ケン • sphere, circle, radius, range"
1303,"① 堅 • -がた.い, かた.い, ケン • strict, hard, solid, tough, tight, reliable"
1304,"① 慌 • あわ.ただしい, あわ.てる, コウ • disconcerted, be confused, lose one's head"
1305,"① 絞 • し.まる, し.める, しぼ.る, コウ • strangle, constrict, wring"
1306,"① 項 • うなじ, コウ • paragraph, nape of neck, clause, item, term (expression)"
1307,"① 詐 • いつわ.る, サ • lie, falsehood, deceive, pretend"
1308,"① 裁 • さば.く, た.つ, サイ • tailor, judge, decision, cut out (pattern)"
1309,"① 策 • サク • scheme, plan, policy, step, means"
1310,"① 傘 • かさ, サン • umbrella"
1311,"① 紫 • むらさき, シ • purple, violet"
1312,"① 滋 • ジ • nourishing, more & more, be luxuriant, planting, turbidity"
1313,"① 軸 • ジク • axis, pivot, stem, stalk, counter for book scrolls"
1314,"① 煮 • に.やす, に.える, -に, に.る, シャ • boil, cook"
1315,"① 就 • つ.ける, つ.く, ジュ, シュウ • concerning, settle, take position, depart, study, per"
1316,"① 衆 • おお.い, シュ, シュウ • masses, great numbers, multitude, populace"
1317,"① 循 • ジュン • sequential, fellow"
1318,"① 暑 • あつ.い, ショ • sultry, hot, summer heat"
1319,"① 掌 • たなごころ, てのひら, ショウ • manipulate, rule, administer, conduct, palm of hand"
1320,"① 晶 • ショウ • sparkle, clear, crystal"
1321,"① 焦 • あせ.る, こ.がれる, こ.がす, こ.げる, ショウ • char, hurry, impatient, irritate, burn, scorch, singe"
1322,"① 硝 • ショウ • nitrate, saltpeter"
1323,"① 粧 • ショウ • cosmetics, adorn (one's person)"
1324,"① 証 • あかし, ショウ • evidence, proof, certificate"
1325,"① 詔 • みことのり, ショウ • imperial edict"
1326,"① 殖 • ふ.やす, ふ.える, ショク • augment, increase, multiply, raise"
1327,"① 診 • み.る, シン • checkup, seeing, diagnose, examine"
1328,"① 尋 • ひろ, たず.ねる, ジン • inquire, fathom, look for"
1329,"① 須 • もと.める, もち.いる, まつ, ひげ, すべし, すべから.く, シュ, ス • ought, by all means, necessarily"
1330,"① 酢 • す, サク • vinegar, sour, acid, tart"
1331,"① 遂 • つい.に, と.げる, スイ • consummate, accomplish, attain, commit (suicide)"
1332,"① 随 • したが.う, まにまに, ズイ • follow, though, notwithstanding, while, during, both, all, obey, submit to, comply, at the mercy of (the waves)"
1333,"① 善 • よし.とする, よ.く, い.い, よ.い, ゼン • virtuous, good, goodness"
1334,"① 疎 • まば.ら, うと.む, うと.い, ショ, ソ • alienate, rough, neglect, shun, sparse"
1335,"① 訴 • うった.える, ソ • accusation, sue, complain of pain, appeal to"
1336,"① 創 • けず.しける, きず, はじ.める, つく.る, ショウ, ソウ • genesis, wound, injury, hurt, start, originate"
1337,"① 喪 • も, ソウ • miss, mourning"
1338,"① 葬 • ほうむ.る, ソウ • interment, bury, shelve"
1339,"① 属 • やから, つく, さかん, ショク, ゾク • belong, genus, subordinate official, affiliated"
1340,"① 堕 • くず.れる, くず.す, お.ちる, ダ • degenerate, descend to, lapse into"
1341,"① 惰 • ダ • lazy, laziness"
1342,"① 隊 • タイ • regiment, party, company, squad"
1343,"① 棚 • -だな, たな, ホウ • shelf, ledge, rack, mount, mantle, trellis"
1344,"① 弾 • はじ.きゆみ, ただ.す, はじ.ける, はじ.く, たま, はず.む, -ひ.き, ひ.く, タン, ダン • bullet, twang, flip, snap"
1345,"① 椎 • う.つ, つち, スイ, ツイ • oak, mallet"
1346,"① 塚 • -づか, つか, チョウ • hillock, mound"
1347,"① 堤 • つつみ, テイ • dike, bank, embankment"
1348,"① 提 • さ.げる, ダイ, チョウ, テイ • propose, take along, carry in hand"
1349,"① 搭 • トウ • board, load (a vehicle), ride"
1350,"① 棟 • むな-, むね, トウ • ridgepole, ridge"
1351,"① 痘 • トウ • pox, smallpox"
1352,"① 統 • ほび.る, す.べる, トウ • overall, relationship, ruling, governing"
1353,"① 廃 • すた.る, すた.れる, ハイ • abolish, obsolete, cessation, discarding, abandon"
1354,"① 媒 • なこうど, バイ • mediator, go-between"
1355,"① 博 • バク, ハク • Dr., command, esteem, win acclaim, Ph.D., exposition, fair"
1356,"① 蛮 • えびす, バン • barbarian"
1357,"① 扉 • とびら, ヒ • front door, title page, front page"
1358,"① 媛 • ひめ, エン • beautiful woman, princess"
1359,"① 評 • ヒョウ • evaluate, criticism, comment"
1360,"① 雰 • フン • atmosphere, fog"
1361,"① 塀 • ベイ, ヘイ • fence, wall, (kokuji)"
1362,"① 遍 • あまね.く, ヘン • everywhere, times, widely, generally"
1363,"① 傍 • そば, はた, おか-, わき, かたわ.ら, ボウ • bystander, side, besides, while, nearby, 3rd person"
1364,"① 婿 • むこ, セイ • bridegroom, son-in-law"
1365,"① 愉 • たの.しむ, たの.しい, ユ • pleasure, happy, rejoice"
1366,"① 湧 • わ.く, ユ, ヨウ, ユウ • boil, ferment, seethe, uproar, breed"
1367,"① 猶 • なお, ユ, ユウ • furthermore, still, yet"
1368,"① 裕 • ユウ • abundant, rich, fertile"
1369,"① 雄 • おん, おす, お-, ユウ • masculine, male, hero, leader, superiority, excellence"
1370,"① 揚 • あ.がる, -あ.げ, あ.げる, ヨウ • hoist, fry in deep fat"
1371,"① 揺 • うご.く, ゆ.すぶる, ゆ.さぶる, ゆ.する, ゆ.るぐ, ゆ.らぐ, ゆ.る, ゆ.れる, ヨウ • swing, shake, sway, rock, tremble, vibrate"
1372,"① 嵐 • あらし, ラン • storm, tempest"
1373,① 痢 • リ • diarrhea
1374,① 硫 • リュウ • sulphur
1375,"① 塁 • とりで, スイ, ライ, ルイ • bases, fort, rampart, walls, base(ball)"
1376,"① 裂 • -ぎ.れ, さ.ける, さ.く, レツ • split, rend, tear"
1377,"① 廊 • ロウ • corridor, hall, tower"
1378,"① 惑 • まど.う, ワク • beguile, delusion, perplexity"
1379,"① 猿 • さる, エン • monkey"
1380,"① 鉛 • なまり, エン • lead"
1381,"① 嫁 • ゆ.く, い.く, とつ.ぐ, よめ, カ • marry into, bride"
1382,"① 暇 • いとま, ひま, カ • spare time, rest, leisure, time, leave of absence"
1383,"① 禍 • わざわい, カ • calamity, misfortune, evil, curse"
1384,"① 雅 • みや.び, ガ • gracious, elegant, graceful, refined"
1385,"① 塊 • つちくれ, かたまり, ケ, カイ • clod, lump, chink, clot, mass"
1386,"① 慨 • ガイ • rue, be sad, sigh, lament"
1387,"① 該 • ガイ • above-stated, the said, that specific"
1388,"① 較 • くら.べる, コウ, カク • contrast, compare"
1389,"① 隔 • へだ.たる, へだ.てる, カク • isolate, alternate, distance, separate, gulf"
1390,"① 滑 • なめ.らか, すべ.る, コツ, カツ • slippery, slide, slip, flunk"
1391,"① 褐 • カツ • brown, woollen kimono"
1392,"① 勧 • すす.める, ケン, カン • persuade, recommend, advise, encourage, offer"
1393,"① 寛 • ゆる.やか, ひろ.い, くつろ.ぐ, カン • tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded"
1394,"① 幹 • みき, カン • tree trunk"
1395,"① 頑 • かたく, ガン • stubborn, foolish, firmly"
1396,"① 棄 • す.てる, キ • abandon, throw away, discard, resign, reject, sacrifice"
1397,"① 義 • ギ • righteousness, justice, morality, honor, loyalty, meaning"
1398,"① 愚 • おろ.か, グ • foolish, folly, absurdity, stupid"
1399,"① 虞 • たの.しむ, のぞ.む, あやま.る, あざむ.く, うれ.える, はか.る, おもんぱか.る, おそれ, グ • expectation, consideration, uneasiness, fear, anxiety, concern"
1400,"① 携 • たずさ.わる, たずさ.える, ケイ • portable, carry (in hand), armed with, bring along"
1401,"① 継 • まま-, つ.ぐ, ケイ • inherit, succeed, patch, graft (tree)"
1402,"① 傑 • すぐ.れる, ケツ • greatness, excellence"
1403,"① 嫌 • いや, きら.い, きら.う, ゲン, ケン • dislike, detest, hate"
1404,"① 献 • たてまつ.る, コン, ケン • offering, counter for drinks, present, offer"
1405,"① 絹 • きぬ, ケン • silk"
1406,"① 遣 • や.る, つか.わす, -づか.い, -つか.い, つか.う, ケン • dispatch, despatch, send, give, donate, do, undertake"
1407,"① 源 • みなもと, ゲン • source, origin"
1408,"① 誇 • ほこ.る, コ • boast, be proud, pride, triumphantly"
1409,"① 鼓 • つづみ, コ • drum, beat, rouse, muster"
1410,① 碁 • ゴ • Go
1411,"① 溝 • みぞ, コウ • gutter, ditch, sewer, drain, 10**32"
1412,"① 債 • サイ • bond, loan, debt"
1413,"① 催 • もよお.す, もよう.す, サイ • sponsor, hold (a meeting), give (a dinner)"
1414,"① 載 • の.る, の.せる, サイ • ride, board, get on, place, spread, 10**44"
1415,"① 搾 • しぼ.る, サク • squeeze"
1416,"① 嗣 • シ • heir, succeed"
1417,"① 詩 • うた, シ • poem, poetry"
1418,"① 飼 • か.う, シ • domesticate, raise, keep, feed"
1419,"① 慈 • いつく.しむ, ジ • mercy"
1420,"① 愁 • うれ.い, うれ.える, シュウ • distress, grieve, lament, be anxious"
1421,"① 酬 • むく.いる, トウ, シュ, シュウ • repay, reward, retribution"
1422,"① 傷 • いた.める, いた.む, きず, ショウ • wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point"
1423,"① 奨 • すす.める, ソウ, ショウ • exhort, urge, encourage"
1424,"① 詳 • つまび.らか, くわ.しい, ショウ • detailed, full, minute, accurate, well-informed"
1425,"① 飾 • かざ.り, かざ.る, ショク • decorate, ornament, adorn, embellish"
1426,"① 慎 • つつし.み, つつし, つつし.む, シン • humility, be careful, discrete, prudent"
1427,"① 睡 • スイ • drowsy, sleep, die"
1428,"① 聖 • ひじり, ショウ, セイ • holy, saint, sage, master, priest"
1429,"① 誠 • まこと, セイ • sincerity, admonish, warn, prohibit, truth, fidelity"
1430,"① 摂 • と.る, かね.る, おさ.める, ショウ, セツ • vicarious, surrogate, act in addition to"
1431,"① 節 • のっと, -ぶし, ふし, セチ, セツ • node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody"
1432,"① 践 • ふ.む, セン • tread, step on, trample, practice, carry through"
1433,"① 禅 • ゆず.る, しずか, セン, ゼン • Zen, silent meditation"
1434,"① 塑 • でく, ソ • model, molding"
1435,"① 僧 • ソウ • Buddhist priest, monk"
1436,"① 賊 • ゾク • burglar, rebel, traitor, robber"
1437,"① 滞 • とどこお.る, テイ, タイ • stagnate, be delayed, overdue, arrears"
1438,"① 滝 • たき, ソウ, ロウ • waterfall, rapids, cascade"
1439,"① 嘆 • なげ.かわしい, なげ.く, タン • sigh, lament, moan, grieve"
1440,"① 暖 • あたた.める, あたた.まる, あたた.かい, あたた.か, ノン, ダン • warmth"
1441,"① 痴 • おろか, し.れる, チ • stupid, foolish"
1442,"① 稚 • おでる, おくて, おさない, いとけない, ジ, チ • immature, young"
1443,"① 蓄 • たくわ.える, チク • amass, keeping a concubine, phonograph"
1444,"① 腸 • はらわた, チョウ • intestines, guts, bowels, viscera"
1445,"① 跳 • -と.び, と.ぶ, は.ねる, チョウ • hop, leap up, spring, jerk, prance, buck, splash, sputter, snap"
1446,"① 賃 • チン • fare, fee, hire, rent, wages, charge"
1447,"① 艇 • テイ • rowboat, small boat"
1448,"① 督 • トク • coach, command, urge, lead, supervise"
1449,"① 漠 • バク • vague, obscure, desert, wide"
