Freq. Rank,Lexeme,Standard Orthography,Standard Reading
3365,温かい,温かい,あたたかい
3545,汚い,汚い,きたない
3565,素早い,素早い,すばやい
3619,望ましい,望ましい,のぞましい
3733,危ない,危ない,あぶない
3739,悔しい,悔しい,くやしい
3776,柔らかい,柔らかい,やわらかい
3851,等しい,等しい,ひとしい
4107,大人しい,おとなしい,おとなしい
4144,暖かい,暖かい,あたたかい
4168,堅い,堅い,かたい
4214,めでたい,めでたい,めでたい
4236,軟らかい,軟らかい,やわらかい
4343,浅い,浅い,あさい
4368,凄まじい,すさまじい,すさまじい
4567,黄色い,黄色い,きいろい
4659,情けない,情けない,なさけない
4686,危うい,危うい,あやうい
4832,乏しい,乏しい,とぼしい
4985,しつこい,しつこい,しつこい
5034,羨ましい,うらやましい,うらやましい
5078,空しい,むなしい,むなしい
5155,でかい,でかい,でかい
5269,涼しい,涼しい,すずしい
5614,力強い,力強い,ちからづよい
5805,淡い,淡い,あわい
5844,幅広い,幅広い,はばひろい
5844,荒い,荒い,あらい
5938,賢い,賢い,かしこい
5938,薄暗い,薄暗い,うすぐらい
5986,心地良い,心地よい,ここちよい
6093,さり気無い,さりげない,さりげない
6120,鈍い,鈍い,にぶい
6156,好ましい,好ましい,このましい
6449,快い,快い,こころよい
6463,逞しい,たくましい,たくましい
6520,眠い,眠い,ねむい
6535,やばい,やばい,やばい
6584,醜い,醜い,みにくい
6645,痒い,かゆい,かゆい
6685,惜しい,惜しい,おしい
6812,限り無い,限りない,かぎりない
6938,眩しい,まぶしい,まぶしい
7225,細長い,細長い,ほそながい
7544,慌ただしい,あわただしい,あわただしい
7620,緩い,緩い,ゆるい
7712,可愛らしい,かわいらしい,かわいらしい
7733,険しい,険しい,けわしい
7769,苦い,苦い,にがい
7769,尊い,尊い,とうとい
7998,悪しい,悪しい,あしい
8074,切ない,切ない,せつない
8102,青白い,青白い,あおじろい
8137,夥しい,おびただしい,おびただしい
8515,分厚い,分厚い,ぶあつい
8802,馬鹿馬鹿しい,ばかばかしい,ばかばかしい
8855,しんどい,しんどい,しんどい
9026,甚だしい,はなはだしい,はなはだしい
9026,止む無い,やむない,やむない
9026,息苦しい,息苦しい,いきぐるしい
9136,狡い,ずるい,ずるい
9259,心細い,心細い,こころぼそい
9369,奥深い,奥深い,おくふかい
9512,生々しい,生々しい,なまなましい
9666,ややこしい,ややこしい,ややこしい
9666,頼り無い,頼りない,たよりない
9708,儚い,はかない,はかない
9708,素っ気ない,素っ気ない,そっけない
9747,根強い,根強い,ねづよい
9786,うざい,うざい,うざい
9969,脆い,もろい,もろい
10145,嫌らしい,いやらしい,いやらしい
10145,気まずい,気まずい,きまずい
10194,程遠い,程遠い,ほどとおい
10284,疑わしい,疑わしい,うたがわしい
10460,容易い,たやすい,たやすい
10460,四角い,四角い,しかくい
10460,渋い,渋い,しぶい
10561,愛しい,いとしい,いとしい
10821,腹立たしい,腹立たしい,はらだたしい
10821,弱々しい,弱々しい,よわよわしい
10865,鬱陶しい,うっとうしい,うっとうしい
10915,潔い,潔い,いさぎよい
10977,目覚ましい,めざましい,めざましい
11024,荒々しい,荒々しい,あらあらしい
11193,誇らしい,誇らしい,ほこらしい
11319,みっともない,みっともない,みっともない
11369,喧しい,やかましい,やかましい
11369,甲高い,甲高い,かんだかい
11428,煩わしい,わずらわしい,わずらわしい
11528,頼もしい,頼もしい,たのもしい
11528,卑しい,卑しい,いやしい
