Verb,Reading,Meaning
信頼する,shinraisuru,
区別する,kubetsusuru,
黙る,damaru,
排除する,haijosuru,
支持する,shijisuru,
唱える,tonaeru,
建設する,kensetsusuru,
乾燥する,kansousuru,
就職する,shuushokusuru,
引き上げる,hikiageru,
晒す,sarasu,
預ける,azukeru,
コントロールする,kontororusuru,
採る,toru,
ほる,horu,
思い切る,omoikiru,
浮く,uku,
約束する,yakusokusuru,
終わる-非自立,owaru,
吐く,haku,
盛り込む,morikomu,
定着する,teichakusuru,
知らせる,shiraseru,
計画する,keikakusuru,
関与する,kanyosuru,
お待ちする,omachisuru,
義務付ける,gimuzukeru,
直す,naosu,
祀る,matsuru,
焦る,aseru,
保障する,hoshousuru,
拾う,hirou,
分解する,bunkaisuru,
刻む,kizamu,
名づける,nazukeru,
チャレンジする,charenjisuru,
聞ける,kikeru,
違反する,ihansuru,
判明する,hanmeisuru,
くれる,kureru,
間に合う,maniau,
就く,tsuku,
とる-非自立,toru,
太る,futoru,
遭う,au,
すすめる,susumeru,
育成する,ikuseisuru,
反する,hansuru,
申し出る,moushideru,
励ます,hagemasu,
温める,nurumeru,
寄与する,kiyosuru,
犯す,okasu,
運用する,unyousuru,
とく-非自立,toku,
配布する,haifusuru,
見れる,mireru,
運転する,untensuru,
命じる,meijiru,
習得する,shuutokusuru,
わく,waku,
落ち込む,ochikomu,
取り巻く,torimaku,
はかる,hakaru,
込む-非自立,komu,
補う,oginau,
起動する,kidousuru,
遡る,sakanoboru,
なさる,nasaru,
供給する,kyoukyuusuru,
解放する,kaihousuru,
崩す,kuzusu,
破る,yaburu,
展示する,tenjisuru,
インストールする,insutorusuru,
明記する,meikisuru,
摂取する,sesshusuru,
お話しする,ohanashisuru,
直す-非自立,naosu,
思いつく,omoitsuku,
見極める,mikiwameru,
手がける,tegakeru,
うける,ukeru,
あてる,ateru,
蹴る,keru,
履く,haku,
光る,hikaru,
進化する,shinkasuru,
報道する,houdousuru,
募集する,boshuusuru,
臨む,nozomu,
論じる,ronjiru,
抑制する,yokuseisuru,
変換する,henkansuru,
傾ける,katamukeru,
自覚する,jikakusuru,
飛び出す,tobidasu,
表明する,hyoumeisuru,
アクセスする,akusesusuru,
炊く,taku,
組み込む,kumikomu,
振り込む,furikomu,
収める,osameru,
受講する,jukousuru,
照らす,terasu,
印刷する,insatsusuru,
解除する,kaijosuru,
交付する,koufusuru,
指示する,shijisuru,
手伝う,tetsudau,
揺る,yuru,
結びつける,musubitsukeru,
クリアする,kuriasuru,
押し付ける,oshitsukeru,
酔う,you,
鳴る,naru,
培う,tsuchikau,
言い換える,iikaeru,
設計する,sekkeisuru,
引用する,inyousuru,
学べる,manaberu,
確信する,kakushinsuru,
余る,amaru,
算出する,sanshutsusuru,
到達する,toutatsusuru,
痛む,itamu,
成す,nasu,
ぶつかる,butsukaru,
通用する,tsuuyousuru,
承認する,shouninsuru,
はく,haku,
一貫する,ikkansuru,
電話する,denwasuru,
改める,aratameru,
傷つく,kizutsuku,
送付する,soufusuru,
出版する,shuppansuru,
消費する,shouhisuru,
思い込む,omoikomu,
出会える,deaeru,
おりる,oriru,
例える,tatoeru,
注文する,chuumonsuru,
復活する,fukkatsusuru,
回転する,kaitensuru,
退職する,taishokusuru,
会える,aeru,
あける,akeru,
アピールする,apirusuru,
制定する,seiteisuru,
好く,suku,
離婚する,rikonsuru,
同意する,douisuru,
制作する,seisakusuru,
拝見する,haikensuru,
選べる,eraberu,
妨げる,samatageru,
順守する,junshusuru,
崩壊する,houkaisuru,
刺激する,shigekisuru,
譲る,yuzuru,
回避する,kaihisuru,
浸透する,shintousuru,
飛ばす,tobasu,
あう,au,
特定する,tokuteisuru,
足る,taru,
勝てる,kateru,
創造する,souzousuru,
突っ込む,tsukkomu,
引き続く,hikitsuzuku,
プレーする,puresuru,
中止する,chuushisuru,
燃える,moeru,
製造する,seizousuru,
汚れる,yogoreru,
引き受ける,hikiukeru,
かなう,kanau,
消滅する,shoumetsusuru,
来す,kitasu,
入り込む,hairikomu,
やれる,yareru,
飽きる,akiru,
強める,tsuyomeru,
委託する,itakusuru,
溜まる,tamaru,
越す,kosu,
推測する,suisokusuru,
再生する,saiseisuru,
兼ねる,kaneru,
漂う,tadayou,
潰す,tsubusu,
名乗る,nanoru,
入社する,nyuushasuru,
要る,iru,
宣言する,sengensuru,
見込む,mikomu,
劣る,otoru,
構える,kamaeru,
検出する,kenshutsusuru,
沈む,shizumu,
下りる,oriru,
代わる,kawaru,
投稿する,toukousuru,
追いかける,oikakeru,
縛る,shibaru,
建つ,tatsu,
お知らせする,oshirasesuru,
課する,kasuru,
揺れる,yureru,
排出する,haishutsusuru,
統一する,touitsusuru,
受験する,jukensuru,
投入する,tounyuusuru,
交わす,kawasu,
推定する,suiteisuru,
かむ,kamu,
曲げる,mageru,
固まる,katamaru,
操作する,sousasuru,
欠かせる,kakaseru,
泊まる,tomaru,
妊娠する,ninshinsuru,
統合する,tougousuru,
再現する,saigensuru,
逃れる,nogareru,
添付する,tenpusuru,
敷く,shiku,
許可する,kyokasuru,
ふる,furu,
記憶する,kiokusuru,
離す,hanasu,
ぼる,boru,
捧げる,sasageru,
損なう,sokonau,
後悔する,koukaisuru,
おきる,okiru,
反省する,hanseisuru,
目覚める,mezameru,
経営する,keieisuru,
固める,katameru,
尽きる,tsukiru,
収まる,osamaru,
泳ぐ,oyogu,
服用する,fukuyousuru,
回収する,kaishuusuru,
見受ける,miukeru,
過ごせる,sugoseru,
混乱する,konransuru,
要請する,youseisuru,
放送する,housousuru,
引き取る,hikitoru,
増大する,zoudaisuru,
割れる,wareru,
足す,tasu,
役立てる,yakudateru,
克服する,kokufukusuru,
発言する,hatsugensuru,
置き換える,okikaeru,
さす,sasu,
製作する,seisakusuru,
仕掛ける,shikakeru,
湧く,waku,
伺いする,ukagaisuru,
削減する,sakugensuru,
逮捕する,taihosuru,
雇う,yatou,
写る,utsuru,
駆使する,kushisuru,
詰める,tsumeru,
冷やす,hiyasu,
遂げる,togeru,
眠れる,nemureru,
開示する,kaijisuru,
晴れる,hareru,
つぶやく,tsubuyaku,
投資する,toushisuru,
責める,semeru,
引っかかる,hikkakaru,
保持する,hojisuru,
刺す,sasu,
親しむ,shitashimu,
励む,hagemu,
被災する,hisaisuru,
交える,majieru,
治す,naosu,
尽くす-非自立,tsukusu,
掘る,horu,
栽培する,saibaisuru,
飛び込む,tobikomu,
お送りする,ookurisuru,
生成する,seiseisuru,
改正する,kaiseisuru,
自立する,jiritsusuru,
出演する,shutsuensuru,
攻める,semeru,
帰国する,kikokusuru,
貫く,tsuranuku,
儲かる,moukaru,
蘇る,yomigaeru,
飲める,nomeru,
強いる,shiiru,
除去する,jokyosuru,
賜る,tamawaru,
加工する,kakousuru,
持参する,jisansuru,
打ち出す,uchidasu,
参る,mairu,
づける-非自立,zukeru,
おこる,okoru,
広める,hiromeru,
留意する,ryuuisuru,
委ねる,yudaneru,
結う,yuu,
カバーする,kabasuru,
たてる,tateru,
乾く,kawaku,
組織する,soshikisuru,
収録する,shuurokusuru,
うかがう,ukagau,
演奏する,ensousuru,
明示する,meijisuru,
避難する,hinansuru,
応募する,oubosuru,
立ち寄る,tachiyoru,
バレル,bareru,
広まる,hiromaru,
つかう,tsukau,
省略する,shouryakusuru,
はる,haru,
放棄する,houkisuru,
下回る,shitamawaru,
折れる,oreru,
すっきりする,sukkirisuru,
腐る,kusaru,
盗む,nusumu,
作用する,sayousuru,
費やす,tsuiyasu,
預かる,azukaru,
移転する,itensuru,
コピーする,kopisuru,
連続する,renzokusuru,
叶える,kanaeru,
裏切る,uragiru,
